Campaign,Ad Group,Ad Group Status,Max CPC
QRB | Search | Create,Dynamic QR generator,Enabled,1.50
QRB | Search | Create,Free / signup,Enabled,1.50
QRB | Search | Competitor,QR TIGER,Enabled,1.50
QRB | Search | Competitor,Scanova,Enabled,1.50
QRB | Search | Competitor,Bitly,Enabled,1.50
QRB | Search | Use cases,Restaurant menu,Enabled,1.50
QRB | Search | Use cases,Business / WiFi / reviews,Enabled,1.50
