Campaign,Ad Group,Ad Group Status,Max CPC
QRB | Search | Create TR,Dinamik QR oluşturucu,Enabled,1.50
QRB | Search | Competitor TR,QR TIGER TR,Enabled,1.50
QRB | Search | Use cases TR,Restoran menü TR,Enabled,1.50
