Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Locations
QRB | Search | Create TR,Search,Paused,5.00,Daily,Maximize clicks,Google search,tr,Turkey
QRB | Search | Competitor TR,Search,Paused,3.00,Daily,Maximize clicks,Google search,tr,Turkey
QRB | Search | Use cases TR,Search,Paused,3.00,Daily,Maximize clicks,Google search,tr,Turkey
