Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Locations
QRB | Search | Create DE,Search,Paused,5.00,Daily,Maximize clicks,Google search,de,Germany;Austria;Switzerland
QRB | Search | Competitor DE,Search,Paused,3.00,Daily,Maximize clicks,Google search,de,Germany;Austria;Switzerland
QRB | Search | Use cases DE,Search,Paused,3.00,Daily,Maximize clicks,Google search,de,Germany;Austria;Switzerland
