Campaign,Ad Group,Ad Group Status,Max CPC
QRB | Search | Create DE,Dynamischer QR Generator,Enabled,1.50
QRB | Search | Competitor DE,QR TIGER DE,Enabled,1.50
QRB | Search | Use cases DE,Restaurant Menü DE,Enabled,1.50
