Campaign,Ad Group,Ad Group Status,Max CPC
QRB | Search | Create ES,Generador QR dinámico,Enabled,1.50
QRB | Search | Competitor ES,QR TIGER ES,Enabled,1.50
QRB | Search | Use cases ES,Menú restaurante ES,Enabled,1.50
